battery_id,id_charge,id_discharge,battery_formula,framework_formula,formula_discharge,formula_charge,working_ion,V_avg,capacity_grav,capacity_vol,energy_grav,energy_vol,max_delta_volume,stability_charge,stability_discharge
mp-28_Li,mp-28,mp-1185231,Li0-3Ce,Ce,Li3Ce,Ce,Li,-0.444845514999999,499.59576880738456,1295.1682126539722,-222.24293706694178,-576.1497705696854,3.042358017833137,0.0,0.33363413624999905
mp-573471_Li,mp-573471,mp-1198729,Li4.25-4.4Sn,Sn,Li22Sn5,Li17Sn4,Li,-0.8402993466666601,26.936089764614323,69.58474721964797,-22.63437863095994,-58.472017626634916,0.009449968929355,0.0,0.010069883333333
mp-80_Li,mp-80,mp-7955,Li0-3Sb,Sb,Li3Sb,Sb,Li,1.099594566666667,563.9132535862739,1701.0624595799823,620.0759497147892,1870.4790381147855,1.863613540560412,0.290331829999999,0.0
mp-124_Li,mp-124,mp-865875,Li0-3Ag,Ag,Li3Ag,Ag,Li,0.163836073333332,624.785870642994,2033.5530864870198,102.36246372029535,333.16935260491135,2.798380262317755,0.0021267149999990003,0.0
mp-568806_Li,mp-568806,mp-1001581,Li0-0.17C,C,LiC6,C,Li,0.288597941666671,339.23692548546035,759.1146501141737,97.90307843243387,219.07892551196608,0.052252388200965005,0.0075972375,0.0004901294805170001
mp-22902_Li,mp-567597,mp-22902,Li0-1Bi,Bi,LiBi,Bi,Li,0.8798580116666651,124.12609933690635,934.3614758348892,109.21334295850937,822.1054303060163,0.352405912045682,0.069719637499993,0.003396496666663
mp-2074_Li,mp-10630,mp-2074,Li0-3Sb,Sb,Li3Sb,Sb,Li,1.101630876666667,563.9132535862739,1904.9149049807088,621.2242519121993,2098.5130767492988,1.5495168698350912,0.328350750000002,0.0079774975
mp-45_Li,mp-45,mp-975929,Li0-3Ca,Ca,Li3Ca,Ca,Li,-0.062228953333333004,1320.2483282062967,1248.9855903854288,-82.157671604361,-77.72306601810064,1.465317125869516,0.0,0.061178348958333004
mp-623511_Li,mp-623511,mp-1185265,Li0-3Sn,Sn,Li3Sn,Sn,Li,0.5970429783333331,576.2396238602458,1905.9443008840447,344.0398212632008,1137.9306619372524,1.443106254961432,0.061407004999999,0.009067424444443
mp-8633_Li,mp-8633,mp-1185185,Li0-3Cr,Cr,Li3Cr,Cr,Li,-0.407694173333333,1104.1669484529702,1821.5104234573848,-450.1624312715226,-742.6191863095079,5.158052135445044,0.40252634000000104,0.406402214999999
mp-8636_Li,mp-8636,mp-1185184,Li0-3Nb,Nb,Li3Nb,Nb,Li,-0.825405963333333,706.9804076667937,2085.178414829654,-583.5458444480029,-1721.118698214344,2.381495673405851,0.32016416000000003,0.6990955125
mp-867343_Li,mp-1183542,mp-867343,Li0-3Cd,Cd,Li3Cd,Cd,Li,0.24192897,603.4829205464947,1847.2012713144877,146.0000013804053,446.8915009518046,2.29455510517661,0.024284360000002003,0.006006667500000001
mp-976060_Li,mp-1210743,mp-976060,Li2-3C,C,Li3C,Li2C,Li,0.837677993333335,816.2796500352957,1209.464875504748,683.7794992404038,1013.1421099199697,0.051919477964863,0.914417564537036,0.476393675069444
mp-1040470_Li,mp-1393120,mp-1176715,Li0-1FeS2,FeS2,LiFeS2,FeS2,Li,1.368448724166667,211.17495938545093,770.2812048996354,288.98210374696816,1054.0903320944694,0.14159933107925401,0.250639878333333,0.161773218125001
mp-1001833_Li,mp-1001833,mp-1096733,Li0-2InBi,InBi,Li2InBi,InBi,Li,-1.7981272463333342,158.73874317469355,81.06464596337817,-285.4324591511261,-145.76454862111586,13.173043114060967,0.0,1.2965093675000001
mp-1018126_Li,mp-1018126,mp-1093540,Li0-2GaBi,GaBi,Li2GaBi,GaBi,Li,-1.877059815476192,183.20450128655696,80.54124885719386,-343.8858073793524,-151.18074171810636,16.140246209656254,0.0,1.371066738035711
mp-1045401_Li,mp-1386044,mp-1045401,Li0-0.5MnS2,MnS2,Li(MnS2)2,MnS2,Li,2.254579151666656,109.35939032638217,354.2334676944118,246.55940146883745,798.6473910864048,0.126670856104037,0.001569699166665,0.0
mp-1003637_Li,mp-1003637,mp-1016095,Li0.33-0.5MnO2,MnO2,LiMn2O4,LiMn3O6,Li,2.341612886666654,49.40874576316023,213.4543090637522,115.69615579305244,499.8273608182089,0.019965361493282003,0.029378997508326003,0.059105272857143
mp-1045389_Li,mp-1405126,mp-1045443,Li0-0.5VS2,VS2,Li(VS2)2,VS2,Li,1.382567081666666,113.04635127365782,377.4432759343913,156.29416397348595,521.8406485033178,0.14419198713998002,0.08818589750000001,0.094082034285713
mp-1008911_Li,mp-1009131,mp-1008911,Li0-1MnAs,MnAs,LiMnAs,MnAs,Li,0.7433608366666661,195.91633610619226,817.9181986211698,145.63653152456686,608.0083564519252,0.182656531783761,0.44509168,0.145942876340997
mp-1002219_Li,mp-1002219,mp-1097580,Li0-2TlSb,TlSb,Li2TlSb,TlSb,Li,-1.507010009642866,157.64404087204034,80.21975141136123,-237.57114755471397,-120.89196834798386,13.165226930395367,0.071025235,1.291354159583335
mp-1045358_Li,mp-1442954,mp-1045358,Li0-0.5CrS2,CrS2,Li(CrS2)2,CrS2,Li,28.679700131666667,112.04951121254238,360.7849498289059,3213.5463814755376,10347.204173111424,0.163825298156991,0.029461006666667,0.054807476941961
mp-1039025_Li,mp-1039025,mp-1222648,Li0-2MgCd,MgCd,Li2MgCd,MgCd,Li,11.721600056666666,355.93409136062746,1171.9960663448965,4172.117065462329,13737.669157681448,0.034349356006732,0.589996970833333,0.0
mp-1009555_Li,mp-1009555,mp-1236414,Li0-1CrO2,CrO2,LiCrO2,CrO2,Li,-0.826594743333332,294.72937690575327,1423.4292269793689,-243.6217536562041,-1176.599116528175,0.15513928434877802,0.19275830499996702,1.104617734999999
mp-1111067_Li,mp-2710677,mp-1111067,Li1-3VF6,VF6,Li3VF6,LiVF6,Li,2.225574441666668,288.5681979329664,758.4179295356533,642.2300059974183,1687.9155600763022,0.052219369535501006,0.0,0.294562624499978
mp-1078799_Li,mp-1078799,mp-1110578,Li1-3NbF6,NbF6,Li3NbF6,LiNbF6,Li,0.7352340846666671,235.38999454171213,672.1180289146778,173.0667471765675,494.16408377704767,0.282782829486238,0.0,0.36665833506666
mp-1100430_Li,mp-1100430,mp-1222606,Li1-2ZnSb,ZnSb,Li2ZnSb,LiZnSb,Li,0.068304041180562,133.30687808249593,582.5370403507426,9.105398490199077,39.789633993320344,0.196585544592281,0.004926168333334,0.193468926249999
mp-1120722_Li,mp-1120722,mp-1147702,Li0-0.33CuO,CuO,Li(CuO)3,CuO,Li,3.58867375666666,109.13668347616917,665.3142786925687,391.65595188056426,2387.59589187963,0.092670820263636,0.33538806666666604,0.051302997499999003
mp-1045896_Li,mp-1045896,mp-1235587,Li0-1Ni9O13,Ni9O13,LiNi9O13,Ni9O13,Li,4.240181766666675,36.06354414722894,198.10500925600073,152.91598233445882,840.0012481326271,0.004479075718492,0.19960782409090802,0.144637906123177
mp-1045514_Li,mp-1389152,mp-1045514,Li0-0.5CrO2,CrO2,LiCr2O4,CrO2,Li,3.403018911666665,153.21190519544808,624.2236979180005,521.38301087259,2124.245049125456,0.025467479299231002,0.165569816666634,0.11416752960317302
mp-1176726_Li,mp-1176726,mp-1222957,Li1-2Fe3O4,Fe3O4,Li2Fe3O4,LiFe3O4,Li,-0.8341711233333241,109.20899223340376,503.65643890946984,-91.09898772943878,-420.13565741917455,0.11433030256512401,0.0393243021875,0.280516826111112
mp-1176738_Li,mp-1177832,mp-1176738,Li0.11-0.14MnO2,MnO2,LiMn7O14,Li3Mn28O56,Li,3.664877956666624,10.88607976886681,44.00617501540608,39.89615377943448,161.2772607711753,0.008207681935991001,0.050299298096742,0.043286694397734006
mp-1077177_Li,mp-1077177,mp-1185377,Li0-1Mg2Ni,Mg2Ni,LiMg2Ni,Mg2Ni,Li,11.712410216666667,234.59776711474603,715.8337748683099,2747.705284361939,8384.13881820266,0.07667593710615901,0.21769566111111002,0.035506949374999
mp-1185311_Li,mp-1429856,mp-1185311,Li0-1CrO3,CrO3,LiCrO3,CrO3,Li,3.235360606666669,250.63268299021829,893.7703977479051,810.8871092897276,2891.6695362783726,0.010061862850069,0.40224307075000004,0.40936655516666304
mp-16271_Li,mp-1100425,mp-16271,Li1-2CdSb,CdSb,Li2CdSb,LiCdSb,Li,0.46975337666666706,108.04739771485889,561.6887778338927,50.755629916601286,263.85520002324444,0.17033242238801702,0.11245594090909102,0.047925216590909
mp-12564_Li,mp-12564,mp-30404,Li1-2SbAu,SbAu,Li2SbAu,LiSbAu,Li,1.428413387727284,80.5796471989388,634.6158623627289,115.10104683730557,906.4937938630178,0.047842183138868004,0.10481701527777701,0.0
mp-17754_Li,mp-17754,mp-831158,Li2-4MnF6,MnF6,Li4MnF6,Li2MnF6,Li,3.67897994333333,272.52168764444093,798.0421613727834,1002.6018229672488,2935.981105624851,0.14084612677222,0.033623882592592004,0.035649193257574
mp-18536_Li,mp-18536,mp-760151,Li0-1AgF3,AgF3,LiAgF3,AgF3,Li,5.515507839166668,155.99996069812107,686.2634508200697,860.4190061401789,3785.0914427316634,0.16365859592877002,0.0,0.05629189899999901
mp-18162_Li,mp-510752,mp-18162,Li0-0.5CuO,CuO,Li(CuO)2,CuO,Li,18.062125484166668,161.4237823438877,892.7028653587345,2915.6566128241075,16124.111174184603,0.130793394285908,0.15278473625000003,0.0
mp-1235941_Li,mp-1426806,mp-1235941,Li0-1TiO2,TiO2,LiTiO2,TiO2,Li,1.046941016666667,308.7486365741381,1155.315480426982,323.24161146937547,1209.5471636489635,0.40757198579094506,0.15821946750000002,0.085798818749999
mp-1235320_Li,mp-1446045,mp-1235320,Li0-0.12VO2,VO2,LiV8O16,VO2,Li,2.305523196666664,39.97456258665856,137.27750062940967,92.1622813201447,316.49646208152666,0.022063351947752,0.179299856249985,0.16120114229999202
mp-11830_Li,mp-11830,mp-1185039,Li1-2CeSn,CeSn,Li2CeSn,LiCeSn,Li,-0.059806713333333004,98.27904258534362,545.8351655120903,-5.877746526576103,-32.644607271034126,0.06531609885211201,0.168594930416666,0.047086038596591
mp-1205429_Li,mp-1205429,mp-1235270,Li0-0.12FeO2,FeO2,Li(FeO2)8,FeO2,Li,2.630295636666668,37.76497946200826,138.99214874389662,99.33306069772668,365.59044237199583,0.047893792648366004,0.18618339833333303,0.201083565519995
mp-18687_Li,mp-18687,mp-761164,Li0-1NbF5,NbF5,LiNbF5,NbF5,Li,2.657286219666676,137.5567862331286,449.9345343627096,365.52775247892737,1195.6048379141707,0.18435158326396803,0.0,0.088132340761905
